MilliSeconds,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
6349,0.151021779,0.015224579,-0.113280639,-0.069192037,-0.267809898,-0.291974187,-0.258547693,-0.22593081,0.021250995,0.06147306,0.080215909,0.026045695,0.117553309,-0.257459998,-0.20918335,-0.20599699,0.194609046,-0.033032779,0.006318533,0.042030398,-0.08177039,-0.225028008,-0.264466524,0.001107023,0.055361226
6428,0.154061124,0.026928255,-0.094696507,-0.050367258,-0.249254659,-0.273489267,-0.240129262,-0.207495391,0.039811954,0.08067771,0.099356808,0.045185275,0.110164426,-0.25619027,-0.208872706,-0.205730721,0.211254045,-0.038236219,0.008229691,0.041065328,-0.064861059,-0.206642002,-0.244065106,0.020192269,0.074569538
6468,0.124741867,0.020134652,-0.089767866,-0.045374718,-0.244330555,-0.268584907,-0.235247955,-0.202606216,0.044731181,0.085631542,0.104292333,0.050120063,0.074522428,-0.256846488,-0.208659619,-0.205612153,0.172667846,-0.087233879,0.009071995,0.03700674,-0.061286192,-0.201766923,-0.23920849,0.025113469,0.079472557
6508,0.087727427,-0.043547712,-0.172445744,-0.129098892,-0.326853156,-0.350811005,-0.31727916,-0.260717481,-0.037876371,0.003325717,0.022210889,-0.031967554,0.044699844,-0.275479138,-0.208937913,-0.20584026,0.129161671,-0.103147015,0.009199045,0.036693402,-0.1405316,-0.252125263,-0.291170985,-0.056742389,-0.002083987
6547,0.200872138,0.05311048,-0.092563793,-0.048206914,-0.247119203,-0.271363884,-0.238036469,-0.205379486,0.041935913,0.082851,0.101510614,0.04733469,0.159587756,-0.196947187,-0.209388405,-0.206071332,0.238715544,0.027571244,0.008972247,0.0418358,-0.056428466,-0.196910396,-0.236119568,0.022336408,0.076705992
6587,0.024668876,-0.106162339,-0.234467536,-0.191906109,-0.38878879,-0.412513435,-0.26268509,-0.262032747,-0.099814497,-0.058385212,-0.039338972,-0.093530238,-0.023020184,-0.320662618,-0.211890742,-0.208802566,0.071906336,-0.043687083,0.009655899,0.040306006,-0.20273219,-0.229961574,-0.282453567,-0.118135348,-0.063253924
6666,0.067783147,-0.068176843,-0.201789945,-0.119295351,-0.356161684,-0.380009562,-0.389656514,-0.427764058,-0.067178257,-0.0258673,-0.006918986,-0.06111034,0.002115081,-0.258645266,-0.210715264,-0.220316455,0.132270485,-0.000248269,0.011422861,0.035544567,-0.168713778,-0.421099216,-0.393309623,-0.085804753,-0.03103967
6706,-0.077187605,-0.109317698,-0.140632063,-0.124798402,-0.275694907,-0.43415451,-0.348401904,-0.328788966,-0.019131709,0.105885237,0.12447495,0.070308961,-0.157306626,-0.261333346,-0.212470293,-0.216396838,0.004240361,0.028944915,0.011012023,0.035809364,-0.132932216,-0.270028055,-0.364606529,0.045259021,0.099550873
6746,-0.075805835,-0.107055888,-0.135974601,-0.121043205,-0.283183873,-0.432959706,-0.348345488,-0.324686468,0.021821488,0.153285995,0.118951879,0.025604887,-0.153748065,-0.262478858,-0.213679746,-0.21492821,0.004449878,0.031148221,0.010954714,0.032152012,-0.129004225,-0.26836139,-0.388420343,0.029961668,0.066827886
6786,-0.070875429,-0.095787115,-0.118676484,-0.117194049,-0.285830408,-0.432714462,-0.348860651,-0.329639375,0.025689742,0.151822105,0.100889966,0.025572203,-0.147581697,-0.262949497,-0.215103447,-0.214295745,0.007996988,0.03094792,0.011170055,0.033598021,-0.112789042,-0.257564276,-0.375382811,0.006248165,0.05092147
